"","x"
"731",13
"732",13
"733",13
"734",13
"735",14
"736",14
"737",14
"738",14
"739",14
"740",14
"741",14
"742",14
"743",15
"744",15
"745",15
"746",15
"747",15
"748",15
"749",15
"750",15
"751",15
"752",15
"753",16
"754",16
"755",16
"756",16
"757",16
"758",16
"759",16
"760",17
"761",17
"762",17
"763",17
"764",17
"765",18
"766",18
"767",18
"768",18
"769",18
"770",18
"771",18
"772",19
"773",19
"774",19
"775",20
"776",20
"777",21
"778",21
"779",22
"780",22
"781",22
"782",22
"783",22
"784",23
"785",24
"786",24
"787",24
"788",25
"789",25
"790",26
"791",26
"792",27
"793",27
"794",28
"795",29
"796",31
"797",30
"798",30
"799",30
"800",31
"801",30
"802",30
"803",31
"804",31
"805",32
"806",32
"807",32
"808",32
"809",33
"810",33
"811",33
"812",34
"813",34
"814",36
"815",36
"816",36
"817",37
"818",37
"819",38
"820",38
"821",39
"822",40
"823",40
"824",41
"825",41
"826",41
"827",44
"828",43
"829",43
"830",44
"831",46
"832",46
"833",46
"834",47
"835",49
"836",50
"837",50
"838",53
"839",52
"840",53
"841",53
"842",52
"843",52
"844",55
"845",54
"846",58
"847",58
"848",57
"849",58
"850",56
"851",59
"852",63
"853",61
"854",63
"855",61
"856",64
"857",64
"858",66
"859",74
"860",74
"861",77
"862",77
"863",78
"864",80
"865",83
"866",82
"867",83
"868",83
"869",85
"870",85
"871",90
"872",91
"873",94
"874",94
"875",102
"876",113
"877",111
"878",110
"879",115
"880",123
"881",121
"882",120
"883",127
"884",125
"885",132
"886",133
"887",137
"888",148
"889",165
"890",166
"891",194
"892",198
"893",210
"894",238
"895",237
"896",271
"897",323
"898",349
"899",389
"900",404
"901",422
"902",494
"903",532
"904",600
"905",677
"906",1
"907",1
"908",1
"909",1
"910",1
"911",1
"912",1
"913",1
"914",1
"915",1
"916",1
"917",1
"918",1
"919",1
"920",1
"921",1
"922",1
"923",1
"924",1
"925",1
"926",1
"927",1
"928",1
"929",1
"930",1
"931",1
"932",1
"933",1
"934",1
"935",1
"936",1
"937",1
"938",1
"939",1
"940",1
"941",1
"942",1
"943",1
"944",1
"945",1
"946",1
"947",1
"948",1
"949",1
"950",1
"951",1
"952",1
"953",1
"954",1
"955",1
"956",1
"957",1
"958",1
"959",1
"960",1
"961",1
"962",1
"963",1
"964",1
"965",1
"966",1
"967",1
"968",1
"969",1
"970",1
"971",1
"972",1
"973",1
"974",1
"975",1
"976",1
"977",1
"978",1
"979",1
"980",1
"981",1
"982",1
"983",1
"984",1
"985",1
"986",1
"987",1
"988",1
"989",1
"990",1
"991",1
"992",1
"993",1
"994",1
"995",1
"996",1
"997",1
"998",1
"999",1
"1000",1
"1001",1
"1002",1
"1003",1
"1004",1
"1005",1
"1006",1
"1007",1
"1008",1
"1009",1
"1010",1
"1011",1
"1012",1
"1013",1
"1014",1
"1015",1
"1016",1
"1017",1
"1018",1
"1019",1
"1020",1
"1021",1
"1022",1
"1023",1
"1024",1
"1025",1
"1026",1
"1027",2
"1028",2
"1029",2
"1030",2
"1031",2
"1032",2
"1033",2
"1034",2
"1035",2
"1036",2
"1037",2
"1038",2
"1039",2
"1040",2
"1041",2
"1042",2
"1043",2
"1044",2
"1045",2
"1046",2
"1047",2
"1048",2
"1049",2
"1050",2
"1051",2
"1052",2
"1053",2
"1054",2
"1055",2
"1056",2
"1057",2
"1058",2
"1059",2
"1060",2
"1061",2
"1062",2
"1063",2
"1064",2
"1065",2
"1066",2
"1067",2
"1068",2
"1069",2
"1070",2
"1071",2
"1072",2
"1073",2
"1074",2
"1075",2
"1076",2
"1077",3
"1078",3
"1079",3
"1080",3
"1081",3
"1082",3
"1083",3
"1084",3
"1085",3
"1086",3
"1087",3
"1088",3
"1089",3
"1090",3
"1091",3
"1092",3
"1093",3
"1094",3
"1095",3
"1096",3
"1097",3
"1098",3
"1099",3
"1100",3
"1101",3
"1102",4
"1103",4
"1104",4
"1105",4
"1106",4
"1107",4
"1108",4
"1109",4
"1110",4
"1111",4
"1112",4
"1113",4
"1114",4
"1115",4
"1116",4
"1117",4
"1118",4
"1119",4
"1120",4
"1121",4
"1122",4
"1123",4
"1124",4
"1125",5
"1126",5
"1127",5
"1128",5
"1129",5
"1130",5
"1131",5
"1132",5
"1133",5
"1134",5
"1135",5
"1136",5
"1137",5
"1138",5
"1139",5
"1140",5
"1141",5
"1142",5
"1143",6
"1144",6
"1145",6
"1146",6
"1147",6
"1148",6
"1149",7
"1150",7
"1151",7
"1152",7
"1153",7
"1154",7
"1155",7
"1156",7
"1157",7
"1158",7
"1159",7
"1160",7
"1161",7
"1162",7
"1163",7
"1164",7
"1165",8
"1166",8
"1167",8
"1168",8
"1169",8
"1170",8
"1171",9
"1172",9
"1173",9
"1174",9
"1175",9
"1176",9
"1177",10
"1178",10
"1179",10
"1180",10
"1181",10
"1182",10
"1183",10
"1184",10
"1185",10
"1186",10
"1187",10
"1188",10
"1189",11
"1190",11
"1191",11
"1192",11
"1193",12
"1194",12
"1195",12
"1196",12
"1197",12
"1198",12
"1199",12
"1200",12
"1201",12
"1202",13
"1203",13
"1204",13
"1205",13
"1206",13
"1207",13
"1208",13
"1209",13
"1210",13
"1211",14
"1212",14
"1213",14
"1214",14
"1215",14
"1216",14
"1217",14
"1218",15
"1219",15
"1220",15
"1221",16
"1222",16
"1223",16
"1224",16
"1225",16
"1226",17
"1227",17
"1228",17
"1229",17
"1230",18
"1231",18
"1232",18
"1233",19
"1234",19
"1235",19
"1236",21
"1237",21
"1238",21
"1239",21
"1240",22
"1241",22
"1242",23
"1243",23
"1244",23
"1245",24
"1246",24
"1247",25
"1248",25
"1249",26
"1250",26
"1251",26
"1252",26
"1253",27
"1254",27
"1255",28
"1256",28
"1257",28
"1258",28
"1259",29
"1260",30
"1261",30
"1262",30
"1263",30
"1264",33
"1265",33
"1266",34
"1267",34
"1268",35
"1269",35
"1270",36
"1271",37
"1272",38
"1273",39
"1274",40
"1275",45
"1276",47
"1277",46
"1278",46
"1279",49
"1280",48
"1281",50
"1282",50
"1283",53
"1284",52
"1285",52
"1286",53
"1287",55
"1288",54
"1289",55
"1290",54
"1291",56
"1292",60
"1293",63
"1294",61
"1295",62
"1296",65
"1297",65
"1298",65
"1299",64
"1300",68
"1301",66
"1302",70
"1303",70
"1304",71
"1305",72
"1306",78
"1307",78
"1308",83
"1309",84
"1310",81
"1311",90
"1312",97
"1313",106
"1314",105
"1315",110
"1316",118
"1317",125
"1318",134
"1319",135
"1320",144
"1321",162
"1322",166
"1323",184
"1324",182
"1325",194
"1326",232
"1327",222
"1328",253
"1329",264
"1330",310
"1331",374
"1332",1
"1333",1
"1334",1
"1335",1
"1336",1
"1337",1
"1338",1
"1339",1
"1340",1
"1341",1
"1342",1
"1343",1
"1344",1
"1345",1
"1346",1
"1347",1
"1348",1
"1349",1
"1350",1
"1351",1
"1352",1
"1353",1
"1354",1
"1355",1
"1356",1
"1357",1
"1358",1
"1359",1
"1360",1
"1361",1
"1362",1
"1363",1
"1364",1
"1365",1
"1366",1
"1367",1
"1368",1
"1369",1
"1370",1
"1371",1
"1372",1
"1373",1
"1374",1
"1375",1
"1376",1
"1377",1
"1378",1
"1379",1
"1380",1
"1381",1
"1382",1
"1383",1
"1384",1
"1385",1
"1386",1
"1387",1
"1388",1
"1389",1
"1390",1
"1391",1
"1392",1
"1393",1
"1394",1
"1395",1
"1396",1
"1397",1
"1398",1
"1399",1
"1400",1
"1401",1
"1402",1
"1403",1
"1404",1
"1405",1
"1406",1
"1407",1
"1408",1
"1409",1
"1410",1
"1411",1
"1412",1
"1413",1
"1414",1
"1415",1
"1416",1
"1417",2
"1418",2
"1419",2
"1420",2
"1421",2
"1422",2
"1423",2
"1424",2
"1425",2
"1426",2
"1427",2
"1428",2
"1429",2
"1430",2
"1431",2
"1432",2
"1433",2
"1434",2
"1435",2
"1436",2
"1437",2
"1438",2
"1439",2
"1440",2
"1441",2
"1442",2
"1443",2
"1444",2
"1445",2
"1446",2
"1447",2
"1448",2
"1449",2
"1450",2
"1451",2
"1452",2
"1453",2
"1454",2
"1455",2
"1456",2
"1457",2
"1458",3
"1459",3
"1460",3
"1461",3
"1462",3
"1463",3
"1464",3
"1465",3
"1466",3
"1467",3
"1468",3
"1469",3
"1470",3
"1471",3
"1472",3
"1473",3
"1474",3
"1475",3
"1476",3
"1477",3
"1478",3
"1479",3
"1480",3
"1481",3
"1482",3
"1483",3
"1484",3
"1485",3
"1486",3
"1487",3
"1488",3
"1489",3
"1490",3
"1491",3
"1492",3
"1493",3
"1494",3
"1495",3
"1496",3
"1497",4
"1498",4
"1499",4
"1500",4
"1501",4
"1502",4
"1503",4
"1504",4
"1505",4
"1506",4
"1507",4
"1508",4
"1509",4
"1510",4
"1511",4
"1512",4
"1513",4
"1514",4
"1515",4
"1516",4
"1517",4
"1518",4
"1519",4
"1520",4
"1521",4
"1522",4
"1523",4
"1524",4
"1525",5
"1526",5
"1527",5
"1528",5
"1529",5
"1530",5
"1531",5
"1532",5
"1533",5
"1534",5
"1535",5
"1536",5
"1537",5
"1538",5
"1539",5
"1540",5
"1541",6
"1542",6
"1543",6
"1544",6
"1545",6
"1546",6
"1547",6
"1548",6
"1549",7
"1550",7
"1551",7
"1552",7
"1553",7
"1554",7
"1555",7
"1556",7
"1557",8
"1558",8
"1559",8
"1560",8
"1561",8
"1562",9
"1563",9
"1564",9
"1565",9
"1566",9
"1567",9
"1568",9
"1569",9
"1570",9
"1571",9
"1572",9
"1573",9
"1574",9
"1575",9
"1576",10
"1577",10
"1578",10
"1579",10
"1580",10
"1581",10
"1582",11
"1583",12
"1584",12
"1585",12
"1586",12
"1587",12
"1588",12
"1589",12
"1590",13
"1591",13
"1592",13
"1593",14
"1594",14
"1595",14
"1596",14
"1597",14
"1598",15
"1599",15
"1600",15
"1601",15
"1602",16
"1603",16
"1604",17
"1605",17
"1606",17
"1607",17
"1608",18
"1609",18
"1610",18
"1611",18
"1612",18
"1613",19
"1614",19
"1615",19
"1616",19
"1617",19
"1618",19
"1619",19
"1620",20
"1621",20
"1622",21
"1623",21
"1624",22
"1625",22
"1626",22
"1627",22
"1628",24
"1629",24
"1630",24
"1631",24
"1632",25
"1633",25
"1634",26
"1635",27
"1636",27
"1637",27
"1638",29
"1639",29
"1640",30
"1641",32
"1642",32
"1643",32
"1644",35
"1645",35
"1646",35
"1647",36
"1648",37
"1649",39
"1650",39
"1651",40
"1652",41
"1653",41
"1654",44
"1655",47
"1656",46
"1657",52
"1658",55
"1659",54
"1660",54
"1661",56
"1662",56
"1663",66
"1664",70
"1665",73
"1666",73
"1667",76
"1668",75
"1669",83
"1670",87
"1671",103
"1672",100
"1673",109
"1674",114
"1675",115
"1676",116
"1677",123
"1678",129
"1679",139
"1680",147
"1681",150
"1682",153
"1683",163
"1684",194
"1685",207
"1686",207
"1687",245
"1688",257
"1689",342
"1690",388
"1691",413
"1692",472
"1693",508
"1694",658
"1695",725
"1696",1
"1697",1
"1698",1
"1699",1
"1700",1
"1701",1
"1702",1
"1703",1
"1704",1
"1705",1
"1706",1
"1707",1
"1708",1
"1709",1
"1710",1
"1711",1
"1712",1
"1713",1
"1714",1
"1715",1
"1716",1
"1717",1
"1718",1
"1719",1
"1720",1
"1721",1
"1722",1
"1723",1
"1724",1
"1725",1
"1726",1
"1727",1
"1728",1
"1729",1
"1730",1
"1731",1
"1732",1
"1733",1
"1734",1
"1735",1
"1736",1
"1737",1
"1738",1
"1739",1
"1740",1
"1741",1
"1742",1
"1743",1
"1744",1
"1745",1
"1746",1
"1747",1
"1748",1
"1749",1
"1750",1
"1751",1
"1752",1
"1753",1
"1754",1
"1755",1
"1756",1
"1757",1
"1758",1
"1759",1
"1760",1
"1761",1
"1762",1
"1763",1
"1764",1
"1765",1
"1766",1
"1767",1
"1768",1
"1769",1
"1770",1
"1771",1
"1772",1
"1773",1
"1774",2
"1775",2
"1776",2
"1777",2
"1778",2
"1779",2
"1780",2
"1781",2
"1782",2
"1783",2
"1784",2
"1785",2
"1786",2
"1787",2
"1788",2
"1789",2
"1790",2
"1791",2
"1792",2
"1793",2
"1794",2
"1795",2
"1796",2
"1797",2
"1798",2
"1799",2
"1800",2
"1801",2
"1802",2
"1803",2
"1804",2
"1805",2
"1806",2
"1807",2
"1808",2
"1809",2
"1810",3
"1811",3
"1812",3
"1813",3
"1814",3
"1815",3
"1816",3
"1817",3
"1818",3
"1819",3
"1820",3
"1821",3
"1822",3
"1823",3
"1824",3
"1825",3
"1826",3
"1827",3
"1828",3
"1829",3
"1830",3
"1831",3
"1832",3
"1833",3
"1834",3
"1835",3
"1836",4
"1837",4
"1838",4
"1839",4
"1840",4
"1841",4
"1842",4
"1843",4
"1844",4
"1845",4
"1846",4
"1847",4
"1848",4
"1849",5
"1850",5
"1851",5
"1852",5
"1853",5
"1854",5
"1855",5
"1856",5
"1857",5
"1858",5
"1859",5
"1860",5
"1861",5
"1862",5
"1863",5
"1864",5
"1865",5
"1866",5
"1867",5
"1868",5
"1869",5
"1870",6
"1871",6
"1872",6
"1873",6
"1874",6
"1875",6
"1876",6
"1877",6
"1878",6
"1879",6
"1880",6
"1881",6
"1882",6
"1883",7
"1884",7
"1885",7
"1886",7
"1887",7
"1888",7
"1889",7
"1890",7
"1891",7
"1892",7
"1893",7
"1894",7
"1895",7
"1896",8
"1897",8
"1898",8
"1899",8
"1900",8
"1901",9
"1902",9
"1903",9
"1904",9
"1905",9
"1906",10
"1907",10
"1908",10
"1909",10
"1910",11
"1911",11
"1912",11
"1913",11
"1914",11
"1915",11
"1916",12
"1917",13
"1918",13
"1919",13
"1920",13
"1921",13
"1922",14
"1923",14
"1924",14
"1925",14
"1926",15
"1927",15
"1928",15
"1929",15
"1930",16
"1931",16
"1932",17
"1933",17
"1934",18
"1935",18
"1936",18
"1937",18
"1938",18
"1939",19
"1940",19
"1941",19
"1942",21
"1943",21
"1944",22
"1945",23
"1946",24
"1947",24
"1948",24
"1949",24
"1950",25
"1951",26
"1952",26
"1953",26
"1954",26
"1955",26
"1956",27
"1957",28
"1958",29
"1959",29
"1960",30
"1961",31
"1962",31
"1963",32
"1964",32
"1965",34
"1966",34
"1967",36
"1968",36
"1969",37
"1970",40
"1971",42
"1972",43
"1973",46
"1974",48
"1975",49
"1976",48
"1977",50
"1978",50
"1979",52
"1980",59
"1981",59
"1982",61
"1983",65
"1984",64
"1985",65
"1986",68
"1987",67
"1988",72
"1989",77
"1990",82
"1991",84
"1992",84
"1993",81
"1994",87
"1995",86
"1996",93
"1997",93
"1998",92
"1999",92
"2000",100
"2001",112
"2002",112
"2003",111
"2004",121
"2005",130
"2006",133
"2007",152
"2008",190
"2009",211
"2010",238
"2011",236
"2012",251
"2013",289
"2014",521
"2015",1
"2016",1
"2017",1
"2018",1
"2019",1
"2020",1
"2021",1
"2022",1
"2023",1
"2024",1
"2025",1
"2026",1
"2027",1
"2028",1
"2029",1
"2030",1
"2031",1
"2032",1
"2033",1
"2034",1
"2035",1
"2036",1
"2037",1
"2038",1
"2039",1
"2040",1
"2041",1
"2042",1
"2043",1
"2044",1
"2045",1
"2046",1
"2047",1
"2048",1
"2049",1
"2050",1
"2051",1
"2052",1
"2053",1
"2054",1
"2055",1
"2056",1
"2057",1
"2058",1
"2059",1
"2060",1
"2061",1
"2062",1
"2063",1
"2064",1
"2065",1
"2066",1
"2067",1
"2068",1
"2069",1
"2070",1
"2071",1
"2072",1
"2073",1
"2074",1
"2075",1
"2076",1
"2077",1
"2078",1
"2079",1
"2080",1
"2081",1
"2082",1
"2083",1
"2084",1
"2085",1
"2086",1
"2087",1
"2088",1
"2089",1
"2090",1
"2091",1
"2092",1
"2093",1
"2094",1
"2095",1
"2096",1
"2097",1
"2098",1
"2099",1
"2100",1
"2101",1
"2102",1
"2103",1
"2104",1
"2105",1
"2106",2
"2107",2
"2108",2
"2109",2
"2110",2
"2111",2
"2112",2
"2113",2
"2114",2
"2115",2
"2116",2
"2117",2
"2118",2
"2119",2
"2120",2
"2121",2
"2122",2
"2123",2
"2124",2
"2125",2
"2126",2
"2127",2
"2128",2
"2129",2
"2130",2
"2131",2
"2132",2
"2133",2
"2134",2
"2135",2
"2136",2
"2137",2
"2138",2
"2139",2
"2140",2
"2141",2
"2142",2
"2143",2
"2144",2
"2145",2
"2146",2
"2147",2
"2148",2
"2149",2
"2150",2
"2151",2
"2152",2
"2153",2
"2154",2
"2155",2
"2156",2
"2157",2
"2158",2
"2159",2
"2160",2
"2161",2
"2162",2
"2163",2
"2164",2
"2165",2
"2166",2
"2167",2
"2168",3
"2169",3
"2170",3
"2171",3
"2172",3
"2173",3
"2174",3
"2175",3
"2176",3
"2177",3
"2178",3
"2179",3
"2180",3
"2181",3
"2182",3
"2183",3
"2184",3
"2185",3
"2186",3
"2187",3
"2188",3
"2189",3
"2190",3
"2191",3
"2192",3
"2193",3
"2194",3
"2195",3
"2196",3
"2197",3
"2198",3
"2199",3
"2200",4
"2201",4
"2202",4
"2203",4
"2204",4
"2205",4
"2206",4
"2207",4
"2208",4
"2209",4
"2210",4
"2211",4
"2212",4
"2213",4
"2214",4
"2215",4
"2216",4
"2217",4
"2218",4
"2219",5
"2220",5
"2221",5
"2222",5
"2223",5
"2224",5
"2225",5
"2226",5
"2227",5
"2228",5
"2229",5
"2230",5
"2231",5
"2232",5
"2233",5
"2234",5
"2235",5
"2236",6
"2237",6
"2238",6
"2239",6
"2240",6
"2241",6
"2242",6
"2243",6
"2244",6
"2245",6
"2246",6
"2247",6
"2248",6
"2249",7
"2250",7
"2251",7
"2252",7
"2253",7
"2254",7
"2255",8
"2256",8
"2257",8
"2258",8
"2259",8
"2260",8
"2261",8
"2262",8
"2263",8
"2264",9
"2265",9
"2266",9
"2267",9
"2268",9
"2269",9
"2270",9
"2271",9
"2272",9
"2273",9
"2274",9
"2275",9
"2276",9
"2277",10
"2278",10
"2279",10
"2280",10
"2281",10
"2282",10
"2283",10
"2284",10
"2285",10
"2286",11
"2287",11
"2288",11
"2289",11
"2290",11
"2291",11
"2292",11
"2293",12
"2294",12
"2295",12
"2296",12
"2297",12
"2298",12
"2299",12
"2300",12
"2301",13
"2302",13
"2303",13
"2304",13
"2305",14
"2306",14
"2307",14
"2308",15
"2309",15
"2310",16
"2311",16
"2312",16
"2313",17
"2314",17
"2315",17
"2316",17
"2317",18
"2318",18
"2319",18
"2320",19
"2321",19
"2322",19
"2323",20
"2324",20
"2325",20
"2326",20
"2327",20
"2328",20
"2329",20
"2330",20
"2331",21
"2332",22
"2333",22
"2334",23
"2335",24
"2336",24
"2337",24
"2338",25
"2339",25
"2340",26
"2341",26
"2342",27
"2343",27
"2344",28
"2345",29
"2346",31
"2347",31
"2348",30
"2349",31
"2350",31
"2351",32
"2352",33
"2353",33
"2354",34
"2355",35
"2356",36
"2357",37
"2358",38
"2359",38
"2360",40
"2361",41
"2362",41
"2363",42
"2364",41
"2365",44
"2366",46
"2367",46
"2368",48
"2369",51
"2370",50
"2371",50
"2372",54
"2373",55
"2374",56
"2375",56
"2376",59
"2377",62
"2378",64
"2379",67
"2380",78
"2381",82
"2382",84
"2383",85
"2384",89
"2385",98
"2386",97
"2387",100
"2388",109
"2389",105
"2390",129
"2391",130
"2392",146
"2393",154
"2394",163
"2395",165
"2396",215
"2397",238
"2398",272
"2399",299
"2400",529
"2401",1
"2402",1
"2403",1
"2404",1
"2405",1
"2406",1
"2407",1
"2408",1
"2409",1
"2410",1
"2411",1
"2412",1
"2413",1
"2414",1
"2415",1
"2416",1
"2417",1
"2418",1
"2419",1
"2420",1
"2421",1
"2422",1
"2423",1
"2424",1
"2425",1
"2426",1
"2427",1
"2428",1
"2429",1
"2430",1
"2431",1
"2432",1
"2433",1
"2434",1
"2435",1
"2436",1
"2437",1
"2438",1
"2439",1
"2440",1
"2441",1
"2442",1
"2443",1
"2444",1
"2445",1
"2446",1
"2447",1
"2448",1
"2449",1
"2450",1
"2451",1
"2452",1
"2453",1
"2454",1
"2455",1
"2456",1
"2457",1
"2458",1
"2459",1
"2460",1
"2461",1
"2462",1
"2463",1
"2464",1
"2465",1
"2466",1
"2467",1
"2468",1
"2469",1
"2470",1
"2471",1
"2472",1
"2473",1
"2474",1
"2475",1
"2476",1
"2477",1
"2478",1
"2479",1
"2480",1
"2481",1
"2482",1
"2483",1
"2484",1
"2485",1
"2486",1
"2487",1
"2488",1
"2489",1
"2490",1
"2491",1
"2492",1
"2493",1
"2494",1
"2495",1
"2496",1
"2497",1
"2498",1
